ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
1353.84;66.694;1.745;10.58;8.700;65.15;1.544;0.2192;2.55
453.30;19.527;1.110;3.90;1.746;19.35;0.177;0.1842;2.55
464.23;19.202;1.591;3.83;1.717;19.03;0.174;0.2139;2.54
1538.60;75.000;0.700;8.63;7.300;73;2.000;0.1075;226.52
2180.51;47.600;33.000;5.31;4.700;47;0.600;4.6851;1426.88
325.50;16.100;0.114;1.69;1.000;14.90;0.600;0.0341;2.55
315.35;15.500;0.114;1.88;1.000;14.9;0.600;0.0253;2.55
1589.22;73.5;4.300;5.7;6.716;67.43;6.072;0.9626;2063.88
1034.24;42.000;6.3;4.25;0.950;41.43;0.570;1.9651;2.42
1512.48;76.400;0.600;6.40;6.500;70.90;2.300;0.4800;73.89
136.85;5.560;0.200;0.63;2.550;0.20;5.360;0.0337;63.70
1130.27;45.800;1.600;5.46;20.700;1.70;44.100;0.2942;682.86
120.70;4.600;0.300;1.00;1.800;0.70;3.900;0.0189;10.45
114.70;4.200;0.300;1.00;1.900;0.30;3.900;0.0276;10.45
160.60;6.900;0.200;1.00;2.500;0.10;6.800;0.0442;86.63
149.00;6.700;0.200;1.00;1.800;0;6.700;0.0442;305.76
74.13;1.950;0.100;1.44;1.600;0.30;1.650;0.0184;89.18
266.14;11.800;0.400;0.50;4.500;6.2;5.600;0.0202;2.04
190.56;8.200;0.200;0.50;4.000;7.20;1.000;0.0202;7.64
138.31;4.600;0.38;1.25;3.100;1.00;3.600;0.0809;16.82
263.46;10.500;0.400;0.50;7.300;3.90;6.600;0.0202;12.74
142.27;5.400;0.200;1.10;2.900;1.30;4.100;0.0380;24.97
116.18;4.060;0.200;1.19;2.100;0;4.060;0.0247;12.74
108.62;3.500;0.200;1.56;1.900;0;3.500;0.0184;17.58
100.66;2.200;0.300;1.81;2.300;0.10;2.100;0.0473;30.58
146.69;1.950;0.300;4.62;2.500;0;1.950;0.0661;17.58
166.54;4.060;0.600;3.44;2.000;0;4.060;0.0325;12.74
102.26;1.950;0.500;1.38;2.500;0;1.950;0.0325;12.74
105.76;4.200;0.200;0.50;1.900;0.30;3.900;0.0202;12.74
52.79;0.980;0.200;1.12;1.000;0;0.980;0.0253;58.60
54.39;0.980;0.200;1.12;1.200;0;0.980;0.0253;53.51
114.41;1.100;0.200;1.38;8.000;0.30;0.800;0.0325;86.63
181.94;1.300;0.700;5.90;4.100;0;1.300;0.0325;2.55
122.88;4.800;0.1;1.25;1.700;0;4.800;0.0201;9.43
1104.50;35.100;0.7;10.5;35;0;35.100;0.1483;170.46
95.77;2.400;0.200;1.81;2.100;0;2.400;0.0303;16.56
140.93;5.500;0.100;0.69;1.400;0;5.500;0.0117;3.06
53.14;1.100;0.200;1.12;1.000;0;1.100;0.0507;272.38
64.82;1.200;0.200;1.28;1.500;0;1.200;0.0202;1146.60
115.64;2.900;0.500;1.83;1.900;0.9;2.000;0.0399;7.13
97.62;2.300;0.500;1.56;1.5;1.50;0.800;0.0498;2504.68
159.57;5.300;0.500;1.56;2.400;0.20;5.100;0.0448;2504.68
62.87;0.300;0.23;2.1;1.500;0.20;0.100;0.0300;8.15
47.27;1.400;0.100;0.65;0.700;0;1.400;0.0182;6.14
48.42;1.260;0.100;0.69;1.100;0;1.260;0.0164;1780.67
